Probe Set Name,Stat Pairs,Stat Pairs Used,Avg Diff,Detection,Detection p-value,Stat Common Pairs,Signal Log Ratio,Signal Log Ratio Low,Avg Diff,Change,Change p-value,Positive,Negative,Pairs,Pairs Used,Pairs InAvg,Pos Fraction,Log Avg,Pos/Neg,Avg Diff,Abs Call,Inc,Dec,Inc Ratio,Dec Ratio,Pos Change,Neg Change,Inc/Dec,DPos-DNeg Ratio,Log Avg Ratio Change,Diff Call,Avg Diff Change,B=A,Fold Change,Sort Score
267542_at,11,11,2.5,A,0.601074,11,-1.4,-3.9,2.5,NC,0.296089,,,,,,,,,,,,,,,,,,,,,,,,
267543_at,11,11,678.4,P,0.000732,11,-0.9,-1.2,678.4,D,0.999973,,,,,,,,,,,,,,,,,,,,,,,,
267544_at,11,11,97.8,A,0.171387,11,-2.6,-3.3,97.8,D,0.99998,,,,,,,,,,,,,,,,,,,,,,,,
267545_at,11,11,1465.4,P,0.000732,11,0.4,0,1465.4,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
267546_at,11,11,66.3,P,0.046143,11,0.9,-0.2,66.3,NC,0.054022,,,,,,,,,,,,,,,,,,,,,,,,
267547_at,11,11,1084.4,P,0.000244,11,1.8,1.1,1084.4,I,0.00002,,,,,,,,,,,,,,,,,,,,,,,,
267548_at,11,11,58.8,A,0.111572,11,0.9,-0.5,58.8,NC,0.169098,,,,,,,,,,,,,,,,,,,,,,,,
267549_at,11,11,122.2,A,0.303711,11,-2.1,-2.6,122.2,D,0.99987,,,,,,,,,,,,,,,,,,,,,,,,
267550_at,11,11,1455.7,P,0.000244,11,-0.9,-1.4,1455.7,D,0.996645,,,,,,,,,,,,,,,,,,,,,,,,
267551_at,11,11,54.1,A,0.366211,11,-0.2,-1.9,54.1,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
267552_at,11,11,3.9,A,0.962402,11,0.3,-0.1,3.9,NC,0.48058,,,,,,,,,,,,,,,,,,,,,,,,
267553_s_at,11,11,175.8,P,0.01416,11,-2,-2.9,175.8,D,0.999977,,,,,,,,,,,,,,,,,,,,,,,,
267554_at,11,11,28,A,0.533936,11,-0.1,-1.3,28,NC,0.153232,,,,,,,,,,,,,,,,,,,,,,,,
267555_at,11,11,192.1,P,0.000244,11,-1.9,-3.2,192.1,D,0.999308,,,,,,,,,,,,,,,,,,,,,,,,
267556_at,11,11,180.5,M,0.056152,11,-2.3,-3.1,180.5,D,0.999973,,,,,,,,,,,,,,,,,,,,,,,,
267557_at,11,11,588.3,P,0.001221,11,0.7,0.5,588.3,I,0.00013,,,,,,,,,,,,,,,,,,,,,,,,
267558_at,11,11,1730.2,P,0.000732,11,-0.1,-0.4,1730.2,NC,0.558077,,,,,,,,,,,,,,,,,,,,,,,,
